year,x,y,radius,hyperbolic_radius,n_cases,n_sequences,variance
2015,0.5429124994872152,0.011872039244495631,0.5430422887909175,1.2169204078864522,104,10,0.06609371175115585
2016,0.5637206464201397,0.005805966115316798,0.563750544516697,1.2766281846531284,89,8,0.0394338644844741
2017,0.5772671751579961,0.05073851838009144,0.5794926994900793,1.3233971574325671,88,8,0.037837666334679464
2018,0.5667790830507393,0.06950992638372325,0.5710255325725002,1.2980864898858895,89,8,0.027046211248738135
2019,0.598335083509963,0.1090290647712303,0.6081876430212665,1.412080092342596,64,6,0.05645035840204937
2020,0.616625337603669,0.05957858354340403,0.6194969044247737,1.4483765143561247,58,5,0.06315517129377968
2021,0.6617081140317326,-0.03609481017241504,0.662691831469813,1.5951961940458368,70,7,0.023177917514301184
2022,0.6470447093745664,-0.10782665183655472,0.6559675622894006,1.5714047981656771,57,5,0.0564803089169032
2023,0.6717250136625316,-0.05496712368119062,0.6739702357416917,1.635964791964937,40,4,0.043610746258097466
2024,0.674194615323637,-0.030686421656250108,0.6748926105725651,1.6393487723552411,46,4,0.05803925243084487
