year,x,y,radius,hyperbolic_radius,n_cases,n_sequences,variance
2015,-0.30378610183372623,0.08261109375153584,0.31481834202942516,0.6517697949037384,21,2,0.031105390523536513
2016,-0.2891928416528356,0.08939099268765494,0.30269332539209787,0.624963882761935,13,1,0.06714548519562596
2017,-0.25457174205404015,0.07273354832015817,0.2647582688107579,0.5424369599385851,8,0,0.05515094794475889
2018,-0.2554996408997855,0.06593153745335502,0.2638693504954346,0.540525591525639,2,0,0.06812236474710556
2019,-0.22575799403877106,0.058703623668896185,0.2332654867404717,0.4752801928105533,9,0,0.03504391549083848
2020,-0.27765740576794995,0.07041633420425931,0.28644736881415744,0.5893835215210966,13,1,0.02257393756249947
2021,-0.27621475801949963,0.05616313821437041,0.28186679591937963,0.5794176558982916,2,0,0.03197809453334862
2022,-0.25695029258915847,0.053175522075033045,0.2623949104110186,0.5373573459859736,13,1,0.06928252270553004
2023,-0.24045714828211587,0.030785977682624494,0.24241991787359907,0.4946870527036093,10,1,0.05808098076643588
2024,-0.22561855880644766,0.010891177603888727,0.2258812781695241,0.45969002587262714,5,0,0.038389156635962665
