year,x,y,n_sequences,variance
2015,0.2837423622405098,0.019581560616320937,28,0.035675332669358926
2016,0.28935844848010883,-0.09868081671074463,45,0.02962735057040824
2017,0.18400978163095894,-0.1971302932139884,12,0.00055221171236024
2018,0.20155109312778685,-0.1828532397932494,39,0.07901755405312057
2019,0.2249082778495109,-0.20428350616893806,45,0.09149596755437808
2020,0.2049331952057326,-0.17615544345264073,37,0.006355835028602364
2021,0.13805161826660717,-0.26607614421560316,39,0.05912977877077272
2022,0.1493810438777839,-0.3804008826928261,39,0.01195942459383017
2023,0.18646439232674922,-0.3707314790569579,30,0.023598491974895577
2024,0.14415577611705965,-0.3841972265914403,17,0.02017192023353962
